Field Name, Offset, Size, Type, Levels, Survey SubSection, Description, Derived Field
"_age65yr","2234","1","categorical","5","oral health","reported age in two age groups calculated variable","0"
"_age80","1417","2","integer","","questionnaire language","imputed age value collapsed above 80","0"
"_age_g","2235","1","categorical","8","oral health","imputed age in six groups","0"
"_ageg5yr","2232","2","categorical","16","oral health","reported age in five-year age categories calculated variable","0"
"_aidtst3","2292","1","categorical","6","calculated variables","ever been tested for hiv calculated variable","0"
"_alteth2","2163","1","categorical","6","oral health","adults aged 65+ who have had all their natural teeth extracted","0"
"_asthms1","2160","1","categorical","6","calculated variables","computed asthma status","0"
"_bmi5","2247","4","integer","","oral health","computed body mass index","0"
"_bmi5cat","2251","1","categorical","7","oral health","computed body mass index categories","0"
"_casthm1","2159","1","categorical","5","calculated variables","current asthma calculated variable","0"
"_chispnc","1612","1","categorical","6","child demographic variables","child hispanic, latino/a, or spanish origin calculated variable","0"
"_chldcnt","2253","1","categorical","9","oral health","computed number of children in household","0"
"_cllcpwt","1802","10","numeric","0","child demographic variables","final child weight: land-line and cell-phone data","1"
"_col10yr","2287","1","categorical","5","calculated variables","respondents aged 50-75 who have had a colonoscopy in the past 10 years","0"
"_cprace","1669","2","categorical","13","child demographic variables","preferred child race categories","0"
"_crace1","1671","2","categorical","12","child demographic variables","child non-hispanic race including multiracial","0"
"_crcrec","2291","1","categorical","5","calculated variables","respondents aged 50-75 who have fully met the uspstf recommendation","0"
"_denvst2","2164","1","categorical","6","oral health","adults who have visited a dentist, dental hygenist or dental clinic within the past year","0"
"_drdxar1","2161","1","categorical","5","calculated variables","respondents diagnosed with arthritis","0"
"_drnkdy4","2263","4","integer","","calculated variables","computed number of drinks of alcohol beverages per day","0"
"_drnkmo4","2267","4","integer","","calculated variables","computed total number drinks a month","0"
"_dualcor","1939","10","numeric","0","child demographic variables","dual phone use correction factor","1"
"_dualuse","1938","1","categorical","8","child demographic variables","dual phone use categories","0"
"_educag","2254","1","categorical","7","oral health","computed level of education completed categories","0"
"_exteth2","2162","1","categorical","6","oral health","risk factor for having had permanent teeth extracted","0"
"_flshot6","2274","1","categorical","6","calculated variables","flu shot calculated variable","0"
"_fobtfs","2290","1","categorical","5","calculated variables","respondents aged 50-75 who have had a blood stool test within the past 3 years and a sigmoidoscopy within the past 5 years","0"
"_fs5yr","2289","1","categorical","5","calculated variables","respondents aged 50-75 who have had a sigmoidoscopy within the past 5 years","0"
"_hcvu651","2156","1","categorical","5","calculated variables","respondents aged 18-64 with health care coverage","0"
"_hfob3yr","2288","1","categorical","5","calculated variables","respondents aged 50-75 who have had a blood stool test within the past 3 years","0"
"_hispanc","2227","1","categorical","6","oral health","hispanic, latino/a, or spanish origin calculated variable","0"
"_impcage","1673","1","categorical","7","child demographic variables","imputed child age","0"
"_impcrac","1674","1","categorical","9","child demographic variables","imputed child race/ethnicity","0"
"_impcsex","1675","1","categorical","5","child demographic variables","imputed child gender","0"
"_impeduc","1425","1","categorical","9","questionnaire language","imputed education level","0"
"_imphome","1427","1","categorical","6","questionnaire language","imputed rent or own home status","0"
