Field Name, Survey SubSection, Description,Module Data,Outcome,Geographical,Demographic,Clinical,Over time,2014,2015,Year Coverage,Type
educa,demographics,education level,,,,1,,,1,1,2,categorical
income2,demographics,income level,,,,1,,,1,1,2,categorical
marital,demographics,marital status,,,,1,,,1,1,2,categorical
numhhol2,demographics,household telephones,,,,1,,,1,1,2,categorical
numphon2,demographics,residential phones,,,,1,,,1,1,2,categorical
renthom1,demographics,own or rent home,,,,1,,,1,1,2,categorical
sex,demographics,respondents sex,,,,1,,,1,1,2,categorical
veteran3,demographics,are you a veteran,,,,1,,,1,1,2,categorical
employ1,demographics,employment status,,,,1,,,1,1,2,categorical
internet,demographics,internet use in the past 30 days?,,,,1,,,1,1,2,categorical
hlthpln1,health care access,have any health care coverage,,,,1,,,1,1,2,categorical
medcost,health care access,could not see dr. because of cost,,,,1,,,1,1,2,categorical
persdoc2,health care access,multiple health care professionals,,,,1,,,1,1,2,categorical
cadult,record identification,are you 18 years of age or older?,,,,1,,,1,1,2,categorical
pvtresd2,record identification,do you live in a private residence?,,,,1,,,1,1,2,categorical
cclghous,record identification,do you live in college housing?,,,,1,,,1,1,2,categorical
pvtresd1,record identification,private residence?,,,,1,,,1,1,2,categorical
numadult,record identification,number of adults in household,,,,1,,,1,1,2,numeric
nummen,record identification,number of adult men in household,,,,1,,,1,1,2,numeric
numwomen,record identification,number of adult women in household,,,,1,,,1,1,2,numeric
ladult,record identification,are you 18 years of age or older?,,,,1,,,1,1,2,numeric
drnkany5,calculated variables,drink any alcoholic beverages in past 30 days,,,,,1,,1,1,2,categorical
addepev2,chronic health conditions,ever told you had a depressive disorder,,,,,1,,1,1,2,categorical
asthma3,chronic health conditions,ever told had asthma,,,,,1,,1,1,2,categorical
asthnow,chronic health conditions,still have asthma,,,,,1,,1,1,2,categorical
chckidny,chronic health conditions,(ever told) you have kidney disease?,,,,,1,,1,1,2,categorical
chcocncr,chronic health conditions,(ever told) you had any other types of cancer?,,,,,1,,1,1,2,categorical
chcscncr,chronic health conditions,(ever told) you had skin cancer?,,,,,1,,1,1,2,categorical
cvdcrhd4,chronic health conditions,ever diagnosed with angina or coronary heart disease,,,,,1,,1,1,2,categorical
cvdinfr4,chronic health conditions,ever diagnosed with heart attack,,,,,1,,1,1,2,categorical
cvdstrk3,chronic health conditions,ever diagnosed with a stroke,,,,,1,,1,1,2,categorical
diabete3,chronic health conditions,(ever told) you have diabetes,,,,,1,,1,1,2,categorical
havarth3,chronic health conditions,told have arthritis,,,,,1,,1,1,2,categorical
chccopd1,chronic health conditions,"(ever told) you have (copd) chronic obstructive pulmonary disease, emphysema or chronic bronchitis?",,,,,1,,1,1,2,categorical
cpdemo1,demographics,do you have a cell phone for personal use?,,,,,1,,1,1,2,categorical
pregnant,demographics,pregnancy status,,,,,1,,1,1,2,categorical
qlactlm2,demographics,activity limitation due to health problems,,,,,1,,1,1,2,categorical
useequip,demographics,health problems requiring special equipment,,,,,1,,1,1,2,categorical
blind,demographics,blind or difficulty seeing,,,,,1,,1,1,2,categorical
decide,demographics,difficulty concentrating or remembering,,,,,1,,1,1,2,categorical
diffalon,demographics,difficulty doing errands alone,,,,,1,,1,1,2,categorical
diffdres,demographics,difficulty dressing or bathing,,,,,1,,1,1,2,categorical
diffwalk,demographics,difficulty walking or climbing stairs,,,,,1,,1,1,2,categorical
exerany2,exercise (physical activity),exercise in past 30 days,,,,,1,,1,1,2,categorical
checkup1,health care access,length of time since last routine checkup,,,,,1,,1,1,2,categorical
genhlth,health status,general health,,,,,1,,1,1,2,categorical
hivtst6,hiv/aids,ever tested hiv,,,,,1,,1,1,2,categorical
whrtst10,hiv/aids,location of last hiv test,,,,,1,,1,1,2,categorical
imfvplac,immunization,where did you get your last flu shot/vaccine?,,,,,,,1,1,2,categorical
pneuvac3,immunization,pneumonia shot ever,,1,,,,,1,1,2,categorical
flushot6,immunization,adult flu shot/spray past 12 mos,,1,,,,,1,1,2,categorical
mscode,questionnaire language,metropolitan status code,,,1,,,,1,1,2,categorical
imonth,record identification,interview month,,,,,,1,1,1,2,categorical
seatbelt,seatbelt use,how often use seatbelts in car?,,,,,1,,1,1,2,categorical
lastsmk2,tobacco use,interval since last smoked,,,,,1,,1,1,2,categorical
smokday2,tobacco use,frequency of days now smoking,,,,,1,,1,1,2,categorical
smoke100,tobacco use,smoked at least 100 cigarettes,,,,,1,,1,1,2,categorical
stopsmk2,tobacco use,stopped smoking in past 12 months,,,,,1,,1,1,2,categorical
usenow3,tobacco use,use of smokeless tobacco products,,,,,1,,1,1,2,categorical
_state,record identification,state fips code,,,1,,,,,,0,categorical
alcday5,alcohol consumption,days in past 30 had alcoholic beverage,,,,,1,,1,1,2,integer
avedrnk2,alcohol consumption,avg alcoholic drinks per day in past 30,,,,,1,,1,1,2,integer
drnk3ge5,alcohol consumption,binge drinking,,,,,1,,1,1,2,integer
maxdrnks,alcohol consumption,most drinks on single occasion past 30 days,,,,,1,,1,1,2,integer
htin4,calculated variables,computed height in inches,,,,,1,,1,1,2,integer
htm4,calculated variables,computed height in meters,,,,,1,,1,1,2,integer
diabage2,chronic health conditions,age when told diabetic,,,,,1,,1,1,2,integer
children,demographics,number of children in household,,,,,1,,1,1,2,integer
height3,demographics,reported height in feet and inches,,,,,1,,1,1,2,integer
weight2,demographics,reported weight in pounds,,,,,,,1,1,2,integer
menthlth,healthy days  health related quality of life,number of days mental health not good,,,,,1,,1,1,2,integer
physhlth,healthy days  health related quality of life,number of days physical health not good,,,,,1,,1,1,2,integer
poorhlth,healthy days  health related quality of life,poor physical or mental health,,,,,1,,1,1,2,integer
hivtstd3,hiv/aids,month and year of last hiv test,,,,,1,,1,1,2,integer
flshtmy2,immunization,when received most recent seasonal flu shot/spray,,,,,,,1,1,2,integer
wtkg3,calculated variables,computed weight in kilograms,,,,,1,,1,1,2,numeric
iyear,record identification,interview year,,,,,,1,1,1,2,numeric
stateres,record identification,resident of state,,,1,,,,1,1,2,numeric
